#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,4,4,1,1,1,
0,1,1,1,2,1,1,1,s,4,1,1,2,1,1,1,1,2,1,#,#,#,#,#,2,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,#,#,#,1,4,a,0,1,1,1,
1,0,d,1,0,d,1,1,1,1,1,1,0,4,3,1,1,0,1,#,#,#,1,0,0,0,1,#,#,
1,0,4,1,0,4,#,#,#,#,#,4,0,1,#,#,a,0,1,1,1,1,1,0,2,3,4,#,#,
1,0,1,1,0,1,1,1,1,1,1,a,0,1,#,#,1,1,4,0,0,0,0,0,1,#,#,#,#,
1,0,1,2,0,0,0,0,0,0,0,0,0,1,#,#,#,#,a,0,2,4,3,0,1,#,#,#,#,
1,0,1,1,3,1,1,3,1,1,1,1,0,2,#,1,1,1,1,0,0,d,1,0,1,#,#,#,#,
2,0,0,d,0,0,0,0,0,0,0,0,0,1,#,1,0,0,0,0,0,0,1,1,0,1,s,1,1,
1,1,1,4,0,0,2,4,3,1,1,1,4,1,1,1,0,0,1,a,0,1,1,0,0,0,0,0,0,
1,1,1,0,0,0,1,1,1,1,1,1,s,4,1,1,0,0,1,1,0,d,1,1,1,3,1,1,1,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,#,#,#,#,#,#,
1,0,1,1,0,4,1,1,1,4,3,1,1,1,3,2,1,1,1,1,0,1,1,1,#,#,#,#,#,
1,0,1,1,0,1,1,1,1,3,2,1,1,1,1,1,1,4,1,1,0,0,0,1,#,#,#,#,#,
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,
1,3,4,1,0,1,1,0,1,4,0,1,1,1,1,3,1,1,1,1,4,3,0,0,0,0,0,0,0,
#,#,#,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,
#,#,#,1,0,1,1,3,4,1,0,1,1,0,0,0,0,0,0,0,2,1,1,3,1,1,1,3,4,
#,#,#,4,0,1,1,1,1,1,0,1,1,0,1,1,1,4,0,0,1,1,1,1,1,#,#,#,#,
#,#,#,2,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,1,1,1,1,1,#,#,#,#,
#,#,#,#,1,1,1,3,1,1,0,d,1,s,1,s,0,0,0,0,0,0,0,0,1,#,#,#,#,
#,#,#,#,#,#,#,#,#,1,0,0,0,0,0,0,0,1,1,1,4,3,0,0,4,s,1,1,1,
#,#,#,#,#,#,#,#,#,1,0,0,0,0,0,0,0,d,#,#,#,1,0,0,0,0,0,0,0,
#,#,#,#,#,#,#,#,#,1,1,1,4,3,1,1,2,1,#,#,#,1,1,1,1,1,1,1,4
